V     B-V     U-B     V-I     V-K     Mv   CL Typ    Teff   logg  Pop  Age     Mass   Mbol    Radius   [M/H]    [a/Fe]  longitude   latitude   RAJ2000     DECJ2000   Dist     x_Gal    y_Gal    z_Gal     Av       errMv     errMass     errAge     errTeff    errLogg    errMet     errAlphaFe     errBand_V  errBand_B  errBand_U  errBand_I  errBand_K                                                                             
  14.337  0.732   0.248   0.798   1.715   5.50  5 5.40    5646.  4.52   8 10.3099  0.756    5.438    0.778  -0.131   0.148    96.141556   60.217747  214.294098   52.219978   0.5730  -8.0304   0.2830   0.5123   0.077    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0327    -0.0120     0.0254    -0.0452    -0.0042
  21.098  0.033  -0.592   0.136   0.099  12.19  6 9.00   10313.  8.00   8 10.0422  0.654   11.711    0.013  -1.075   0.313    96.320892   60.313877  214.081757   52.205200   0.5809  -8.0317   0.2859   0.5196   0.068    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0168    -0.0087     0.0309     0.0185     0.0287
  21.677  0.166  -0.610   0.297   0.482  12.71  6 9.00    8742.  7.90   8  9.9323  0.700   12.411    0.013  -0.470   0.258    96.003044   59.723312  214.913239   52.546288   0.6034  -8.0318   0.3025   0.5361   0.075    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0149     0.0182     0.0005    -0.0017     0.0196
  22.909  0.447  -0.399   0.663   1.347  14.11  6 9.00    6185.  7.96   8  9.9961  0.722   13.880    0.013  -0.464   0.304    96.068947   59.981937  214.592010   52.374035   0.5617  -8.0297   0.2794   0.5014   0.078    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0309    -0.0156     0.0196    -0.0016     0.0316
  20.236  1.457   0.889   1.736   3.368  11.34  5 7.10    3855.  5.06   9 13.9057  0.377   10.066    0.203  -1.950   0.241    96.174774   59.929855  214.582764   52.448116   0.5796  -8.0312   0.2888   0.5166   0.075    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0002     0.0232     0.0289    -0.0068     0.0279
  19.113  1.374   1.160   1.826   3.618  10.21  5 7.05    3885.  4.97  11 11.8973  0.355    8.866    0.341  -0.784   0.363    96.770187   59.899197  214.243561   52.666027   0.5751  -8.0340   0.2864   0.5126   0.077    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0310    -0.0374    -0.0159    -0.0194     0.0011
  18.789  1.406   1.126   1.802   3.607   9.78  5 7.05    3915.  5.10  11 11.9680  0.445    8.713    0.358  -0.642   0.286    97.091766   60.055000  213.875214   52.650230   0.6052  -8.0373   0.2998   0.5394   0.070    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0292     0.0175    -0.0072     0.0057    -0.0045
  16.796  1.135   0.883   1.247   2.803   7.79  5 6.60    4489.  4.69  11 11.9607  0.559    7.224    0.542  -0.726   0.261    97.395042   59.913422  213.831177   52.856022   0.6053  -8.0391   0.3009   0.5388   0.075    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0252     0.0162     0.0057     0.0222     0.0069
  15.128  0.736   0.075   0.839   1.923   6.24  5 5.75    5323.  4.45  11 12.0603  0.554    5.982    0.667  -1.290   0.351    95.340004   59.674755  215.374588   52.358608   0.5819  -8.0273   0.2925   0.5173   0.075    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0122     0.0028     0.0036    -0.0053     0.0171
  14.433  0.640   0.022   0.780   1.689   5.51  5 5.30    5686.  4.57  11 11.9028  0.771    5.456    0.743  -0.373   0.208    97.140099   59.875576  214.034119   52.803585   0.5807  -8.0362   0.2892   0.5172   0.077    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0214     0.0157    -0.0125    -0.0069    -0.0011
  21.618  1.520   1.315   2.670   5.076  12.48  5 7.35    3199.  5.00   6  6.0092  0.483   10.232    0.249  -0.150  -0.040    96.797035   59.985809  214.134384   52.608627   0.6474  -8.0383   0.3216   0.5756   0.077    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0078    -0.0103     0.0421     0.0138     0.0138
  21.626  1.573   1.268   2.563   4.939  12.47  5 7.35    3359.  5.06   5  3.9647  0.367   10.108    0.260  -0.015  -0.023    96.062759   60.012310  214.563049   52.349140   0.6505  -8.0343   0.3233   0.5784   0.080    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0094    -0.0210     0.0058     0.0258     0.0212
  21.367  1.562   1.190   2.533   4.903  12.25  5 7.35    3422.  4.92   6  6.0456  0.323    9.985    0.270  -0.069  -0.010    97.187874   60.053474  213.815872   52.682049   0.6501  -8.0406   0.3220   0.5783   0.077    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0304    -0.0175    -0.0071    -0.0081    -0.0051
  20.964  1.620   1.245   2.431   4.713  11.83  5 7.30    3355.  4.91   7  8.5261  0.222    9.861    0.281  -0.151   0.037    95.338196   59.899673  215.128036   52.191780   0.6559  -8.0306   0.3275   0.5825   0.078    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0253     0.0111     0.0466    -0.0082     0.0074
  20.874  1.553   1.169   2.453   4.721  11.86  5 7.30    3377.  5.04   6  5.9498  0.361    9.801    0.287  -0.009   0.037    96.519348   59.353443  214.991974   52.996887   0.6210  -8.0359   0.3145   0.5492   0.071    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0264    -0.0089     0.0024    -0.0186     0.0408
  20.582  1.507   1.121   2.360   4.502  11.40  5 7.25    3447.  4.93   7  8.3585  0.321    9.499    0.316   0.016   0.043    95.883026   59.724384  214.986404   52.505318   0.6595  -8.0341   0.3307   0.5846   0.078    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0021     0.0305    -0.0194    -0.0305    -0.0108
  20.361  1.582   1.098   2.245   4.444  11.26  5 7.25    3404.  4.92   6  6.2457  0.295    9.440    0.322  -0.157   0.048    96.449478   59.380341  215.007065   52.953209   0.6433  -8.0368   0.3256   0.5686   0.071    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0134     0.0284    -0.0285     0.0126     0.0439
  20.188  1.598   1.143   2.223   4.428  11.09  5 7.25    3455.  4.91   6  6.0311  0.304    9.383    0.327  -0.115   0.010    97.334465   59.994987  213.784134   52.773773   0.6471  -8.0413   0.3210   0.5754   0.078    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0353     0.0226     0.0121    -0.0161     0.0010
  19.973  1.532   1.183   2.199   4.391  10.94  5 7.25    3524.  4.95   6  5.8418  0.422    9.327    0.333  -0.054   0.036    97.542725   59.791607  213.864349   52.997234   0.6237  -8.0412   0.3111   0.5540   0.075    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0145    -0.0225     0.0084    -0.0034     0.0101
  20.110  1.547   1.123   2.212   4.365  10.95  5 7.25    3513.  4.90   7  8.4982  0.345    9.269    0.339   0.135  -0.034    96.857933   59.901279  214.185913   52.692875   0.6512  -8.0390   0.3242   0.5784   0.067    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0204     0.0356     0.0148    -0.0211     0.0244
  19.904  1.561   1.126   2.125   4.324  10.81  5 7.20    3581.  4.90   4  2.5796  0.381    9.191    0.348  -0.046  -0.015    97.021736   60.024044  213.952148   52.651627   0.6420  -8.0392   0.3183   0.5711   0.072    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0114     0.0161    -0.0126     0.0241     0.0033
  19.418  1.509   1.225   2.081   4.223  10.37  5 7.20    3590.  4.92   7  8.3997  0.403    8.881    0.387  -0.294   0.014    97.542831   59.764347  213.893036   53.018345   0.6193  -8.0409   0.3092   0.5501   0.072    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0154    -0.0051     0.0351     0.0342    -0.0206
  19.318  1.443   1.168   2.074   4.050  10.19  5 7.15    3588.  4.89   5  4.1218  0.611    8.730    0.406  -0.050   0.031    96.380478   59.289745  215.150223   52.998058   0.6387  -8.0363   0.3242   0.5642   0.078    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0263     0.0148     0.0030     0.0001     0.0118
  19.170  1.458   1.226   2.097   4.131  10.08  5 7.15    3608.  4.95   6  6.0126  0.526    8.654    0.417  -0.129   0.012    97.490906   59.868507  213.816864   52.921257   0.6290  -8.0412   0.3131   0.5590   0.072    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0274    -0.0213     0.0094    -0.0421    -0.0145
  17.471  1.324   1.207   1.591   3.357   8.40  5 7.00    4064.  4.76   7  8.5144  0.636    7.558    0.573  -0.173  -0.009    96.489563   59.450500  214.904999   52.913795   0.6289  -8.0361   0.3176   0.5566   0.072    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0014    -0.0070    -0.0083    -0.0122     0.0178
  17.142  1.289   1.354   1.540   3.237   8.12  5 6.70    4125.  4.60   5  3.9903  0.893    7.276    0.618   0.037   0.015    96.733009   60.299328  213.842712   52.348343   0.6125  -8.0356   0.3014   0.5470   0.071    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0169    -0.0334     0.0086     0.0415     0.0140
  16.361  1.272   1.252   1.320   2.942   7.28  5 6.50    4320.  4.58   5  4.1713  0.824    6.794    0.691   0.258   0.039    95.401451   59.735332  215.270218   52.334763   0.6392  -8.0303   0.3207   0.5671   0.069    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0136    -0.0025     0.0100     0.0198     0.0013
  16.274  1.140   1.022   1.160   2.655   7.19  5 6.50    4399.  4.55   7  8.5423  0.664    6.587    0.722  -0.159   0.026    97.191544   59.624607  214.268097   53.012733   0.6378  -8.0404   0.3200   0.5652   0.071    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0118     0.0026    -0.0260    -0.0085     0.0336
  16.140  1.062   0.956   1.087   2.533   6.99  5 6.40    4536.  4.41   7  8.6291  0.537    6.365    0.756  -0.091   0.035    97.001617   59.457958  214.569275   53.077961   0.6535  -8.0405   0.3296   0.5778   0.074    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0041    -0.0090    -0.0370    -0.0109     0.0041
  15.597  0.962   0.678   0.992   2.350   6.47  5 6.30    4838.  4.54   6  6.1614  0.715    5.975    0.818  -0.505   0.076    95.800583   59.877209  214.870621   52.363583   0.6425  -8.0326   0.3208   0.5707   0.072    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0160     0.0044    -0.0315     0.0081     0.0320
  12.355  1.034   0.658   0.969   2.349   3.26  3 5.80    4793.  3.23   7  8.3884  1.241    2.748    3.654  -0.381  -0.011    96.863724   60.073586  213.999359   52.562984   0.6454  -8.0385   0.3197   0.5743   0.070    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0272     0.0016    -0.0328    -0.0145     0.0004
  12.933  0.546   0.064   0.635   1.467   3.83  5 4.80    6078.  4.35   5  3.9936  0.977    3.914    1.348  -0.212   0.034    97.373634   59.520981  214.260925   53.151390   0.6401  -8.0417   0.3220   0.5666   0.067    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0000    -0.0308    -0.0014     0.0152    -0.0134
  13.000  0.619   0.020   0.615   1.415   3.86  5 4.80    5987.  4.28   5  4.0394  1.220    3.814    1.412  -0.169  -0.003    96.365059   59.578041  214.844940   52.776169   0.6580  -8.0369   0.3312   0.5824   0.074    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0213     0.0169    -0.0037     0.0166     0.0224
   8.836  1.476   1.786   1.835   3.859  -0.23  3 6.90    3860.  1.69   6  5.9711  1.269   -1.380   37.020  -0.178   0.002    97.068344   59.892487  214.061874   52.767517   0.6251  -8.0386   0.3112   0.5558   0.074    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0130    -0.0159     0.0266    -0.0010    -0.0202
  12.320  0.526   0.099   0.609   1.343   3.26  4 4.80    6145.  3.98   5  4.0858  1.310    3.137    1.841   0.059   0.054    96.394539   59.185421  215.256119   53.081051   0.6218  -8.0355   0.3165   0.5490   0.076    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0174    -0.0131     0.0353     0.0225     0.0251
  23.581  0.635  -0.287   0.724   1.298  14.53  6 9.20    5899.  8.21   6  6.1360  0.606   14.570    0.010   0.121   0.037    96.927292   59.303856  214.784012   53.170563   0.6351  -8.0391   0.3218   0.5611   0.076    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0380    -0.0030    -0.0083    -0.0028     0.0321
  21.589  1.626   1.226   2.412   4.606  12.44  5 7.30    3254.  5.12   8  9.7873  0.165   10.570    0.200  -0.311   0.208    95.766167   59.926926  214.837616   52.314964   0.6484  -8.0326   0.3233   0.5762   0.081    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0130     0.0086    -0.0082    -0.0336     0.0054
  21.650  1.579   1.257   2.355   4.508  12.45  5 7.30    3486.  5.01   8  9.9492  0.278   10.453    0.207  -0.242   0.262    97.094162   59.880413  214.058273   52.785099   0.6593  -8.0409   0.3283   0.5853   0.079    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0288    -0.0114     0.0139     0.0025     0.0505
  21.370  1.565   1.174   2.339   4.491  12.28  5 7.25    3347.  5.06   8 10.0712  0.280   10.333    0.215  -0.135   0.225    95.803513   59.541199  215.236618   52.615059   0.6271  -8.0321   0.3163   0.5556   0.071    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0335     0.0076    -0.0252    -0.0127     0.0236
  20.909  1.664   1.169   2.107   4.095  11.79  5 7.25    3474.  4.94   8  9.7936  0.086   10.076    0.234  -0.930   0.277    96.982735   59.603981  214.424362   52.960442   0.6405  -8.0394   0.3217   0.5675   0.079    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0040     0.0164    -0.0105    -0.0058     0.0172
  20.658  1.546   1.217   2.246   4.352  11.57  5 7.20    3516.  5.01   8 10.0200  0.245    9.938    0.246  -0.342   0.201    96.089943   59.741226  214.839752   52.561852   0.6243  -8.0334   0.3128   0.5543   0.081    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0277    -0.0119    -0.0028     0.0006    -0.0253
  20.493  1.594   1.215   2.170   4.190  11.45  5 7.20    3480.  5.18   8  9.9211  0.312    9.796    0.258  -0.546   0.207    96.719193   59.223663  215.005753   53.161793   0.6246  -8.0374   0.3174   0.5516   0.071    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0115     0.0152     0.0255    -0.0096     0.0192
  20.261  1.483   1.171   2.119   4.126  11.21  5 7.20    3616.  5.04   8  9.9622  0.478    9.652    0.270   0.111   0.074    96.903320   60.101376  213.945053   52.554394   0.6231  -8.0373   0.3083   0.5552   0.072    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0064     0.0125     0.0136    -0.0299    -0.0173
  20.140  1.503   1.154   2.010   4.141  11.01  5 7.15    3679.  4.95   8 10.0456  0.199    9.505    0.285  -0.139   0.102    96.612640   59.734623  214.519272   52.739746   0.6487  -8.0377   0.3248   0.5753   0.074    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0004     0.0059    -0.0223     0.0299     0.0141
  19.731  1.569   1.174   2.015   3.925  10.70  5 7.15    3793.  4.95   8  9.9496  0.134    9.355    0.300  -0.679   0.288    96.610359   59.823620  214.425079   52.671459   0.6224  -8.0360   0.3108   0.5531   0.073    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0098     0.0165     0.0013    -0.0237     0.0043
  19.792  1.526   1.151   2.045   4.001  10.63  5 7.15    3698.  5.02   8  9.9553  0.218    9.203    0.318  -0.648   0.260    95.847450   59.987202  214.722427   52.296879   0.6503  -8.0331   0.3236   0.5781   0.078    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0138     0.0161    -0.0326    -0.0182    -0.0396
  19.701  1.472   1.190   1.988   4.012  10.59  5 7.10    3703.  4.94   8 10.0086  0.247    9.052    0.334  -0.362   0.185    97.078720   59.418159  214.562393   53.133675   0.6307  -8.0395   0.3184   0.5580   0.076    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0333     0.0119    -0.0046     0.0041    -0.0417
  19.097  1.504   1.155   1.862   3.814  10.06  5 7.10    3810.  5.03   8  9.9469  0.478    8.753    0.371  -0.343   0.248    96.646225   59.481098  214.772049   52.942871   0.6192  -8.0364   0.3123   0.5484   0.075    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0023     0.0369    -0.0126     0.0294    -0.0160
  18.907  1.506   1.160   1.795   3.718   9.81  5 7.05    3785.  4.87   8 10.1446  0.546    8.604    0.391  -0.607   0.253    97.318932   59.718250  214.086349   52.982059   0.6467  -8.0415   0.3234   0.5735   0.074    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0296     0.0189     0.0021     0.0255    -0.0577
  18.378  1.404   1.217   1.633   3.442   9.26  5 7.00    3923.  4.65   8  9.8283  0.588    8.158    0.448   0.019   0.120    97.033592   59.684528  214.305466   52.915520   0.6454  -8.0399   0.3233   0.5721   0.072    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0030     0.0386     0.0019     0.0111     0.0078
  18.130  1.342   1.040   1.571   3.317   8.97  5 6.90    3892.  4.76   8 10.0365  0.339    7.867    0.489  -0.828   0.312    96.632507   59.233654  215.050613   53.125137   0.6532  -8.0386   0.3319   0.5762   0.078    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0045     0.0166    -0.0088     0.0217    -0.0320
  17.580  1.360   1.313   1.604   3.278   8.50  5 6.85    4092.  4.70   8  9.9998  0.514    7.724    0.508   0.292   0.056    97.225357   59.727909  214.136292   52.944443   0.6335  -8.0402   0.3168   0.5621   0.080    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0088     0.0043    -0.0053    -0.0204    -0.0113
  17.436  1.292   0.975   1.508   3.111   8.32  5 6.80    4150.  4.71   8  9.8978  0.383    7.583    0.525  -0.711   0.284    95.935684   59.862926  214.803024   52.419266   0.6391  -8.0332   0.3192   0.5677   0.070    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0161     0.0333    -0.0298    -0.0051     0.0036
  17.116  1.211   1.086   1.295   2.929   7.96  5 6.70    4209.  4.68   8  9.9736  0.661    7.302    0.557  -0.385   0.209    97.390656   59.732948  214.024506   52.993828   0.6541  -8.0424   0.3269   0.5799   0.073    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0003     0.0058     0.0211     0.0234    -0.0262
  16.001  1.047   0.875   1.003   2.368   6.93  5 6.35    4836.  4.65   8  9.8661  0.614    6.579    0.635   0.146   0.055    96.759735   59.631638  214.536987   52.866257   0.6334  -8.0377   0.3180   0.5615   0.070    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0104     0.0117    -0.0358    -0.0021     0.0256
  15.770  0.938   0.729   0.929   2.270   6.69  5 6.25    4859.  4.69   8  9.9787  0.562    6.427    0.650  -0.218   0.218    97.394241   59.769722  213.983292   52.966640   0.6363  -8.0412   0.3177   0.5648   0.071    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0136    -0.0202    -0.0104     0.0181     0.0003
  14.558  0.637  -0.041   0.759   1.675   5.44  5 5.25    5747.  4.49   8  9.8506  0.847    5.258    0.811  -0.458   0.236    96.021805   60.175690  214.412506   52.212666   0.6419  -8.0335   0.3175   0.5719   0.071    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0080     0.0187    -0.0246    -0.0062    -0.0146
  13.749  0.525  -0.079   0.626   1.465   4.60  5 4.90    6053.  4.39   8 10.0476  0.853    4.502    1.023  -0.810   0.283    97.179451   59.491165  214.418732   53.110958   0.6553  -8.0416   0.3300   0.5795   0.076    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0067    -0.0126    -0.0042     0.0184    -0.0015
  12.804  0.627   0.025   0.592   1.394   3.72  4 4.65    6085.  4.18   8 10.1923  0.930    3.713    1.465   0.037   0.085    96.567154   59.820045  214.456116   52.660027   0.6404  -8.0368   0.3198   0.5686   0.074    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0256     0.0202    -0.0144     0.0276     0.0157
  12.679  0.563  -0.053   0.746   1.541   3.52  4 4.80    5948.  4.02   8  9.9445  1.041    3.500    1.724  -0.579   0.219    96.651764   60.128212  214.074112   52.453091   0.6516  -8.0376   0.3223   0.5800   0.075    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0134     0.0029    -0.0075    -0.0333     0.0322
  21.460  0.078  -0.634   0.233   0.278  12.29  6 9.00    9539.  7.97   8  9.9729  0.521   11.985    0.013  -0.803   0.280    96.146393   59.366951  215.213715   52.861111   0.6546  -8.0357   0.3316   0.5783   0.077    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0158    -0.0036    -0.0281    -0.0162     0.0061
  21.539  1.635   1.196   2.295   4.439  12.40  5 7.25    3516.  5.17  11 12.0371  0.030   10.604    0.190  -0.458   0.232    96.466011   60.312260  213.994232   52.253086   0.6436  -8.0359   0.3167   0.5741   0.068    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0232     0.0267    -0.0130     0.0129    -0.0070
  20.400  1.545   1.199   1.995   3.948  11.27  5 7.15    3664.  5.04  11 12.0322  0.213    9.792    0.245  -0.410   0.275    97.405708   59.669163  214.082413   53.047798   0.6519  -8.0424   0.3264   0.5776   0.070    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0078    -0.0003     0.0030     0.0236     0.0153
  19.963  1.512   1.142   1.927   3.837  10.90  5 7.10    3639.  5.08  11 12.0154  0.228    9.489    0.273  -0.445   0.219    95.513008   59.619396  215.329773   52.458420   0.6224  -8.0302   0.3133   0.5519   0.077    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0142     0.0146    -0.0259     0.0136    -0.0010
  18.430  1.390   1.079   1.671   3.416   9.36  5 7.00    3961.  4.88  11 11.8781  0.464    8.405    0.398  -0.609   0.273    95.189827   59.838032  215.285522   52.187111   0.6289  -8.0286   0.3147   0.5587   0.076    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0019     0.0164     0.0098    -0.0167    -0.0209
  17.905  1.318   1.004   1.540   3.193   8.87  5 6.85    4098.  4.83  11 11.9962  0.695    7.952    0.457  -0.548   0.307    95.949829   59.633167  215.044769   52.595875   0.6231  -8.0327   0.3133   0.5526   0.069    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0068     0.0050    -0.0503     0.0052     0.0050
  17.724  1.258   0.919   1.499   3.113   8.63  5 6.80    4171.  4.84  11 11.9289  0.315    7.803    0.476  -0.888   0.360    96.891182   60.134071  213.918167   52.525448   0.6291  -8.0376   0.3110   0.5606   0.070    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0270     0.0219    -0.0318    -0.0060    -0.0210
  15.548  0.893   0.491   0.895   2.239   6.53  5 6.20    4993.  4.72  11 12.0527  0.691    6.469    0.615  -0.860   0.294    96.898155   59.649178  214.429932   52.898304   0.6150  -8.0373   0.3085   0.5457   0.073    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0001     0.0012     0.0238     0.0369    -0.0129
  21.563  1.516   1.262   2.647   4.981  12.27  5 7.35    3281.  4.95   5  4.0044  0.308   10.108    0.260  -0.055   0.055    97.102715   60.163101  213.754562   52.570538   0.6941  -8.0427   0.3427   0.6171   0.073    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0159    -0.0102     0.0313    -0.0170     0.0372
  21.557  1.488   1.277   2.592   5.003  12.30  5 7.35    3244.  4.97   5  4.0380  0.316   10.111    0.259   0.096   0.018    97.062485   59.527470  214.455292   53.044930   0.6953  -8.0434   0.3499   0.6142   0.071    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0262    -0.0035     0.0094     0.0107    -0.0083
  21.063  1.501   1.173   2.541   4.839  11.84  5 7.30    3402.  4.97   7  8.3997  0.198    9.856    0.282  -0.156   0.012    96.421799   59.335014  215.074326   52.977985   0.6680  -8.0381   0.3386   0.5896   0.077    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0190     0.0054     0.0125    -0.0178     0.0192
  21.106  1.394   1.240   2.541   4.898  11.88  5 7.30    3338.  5.02   6  5.9378  0.227    9.859    0.282   0.034   0.024    96.044075   59.376541  215.267654   52.819267   0.6743  -8.0362   0.3416   0.5952   0.073    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0139    -0.0217    -0.0056     0.0081    -0.0022
  21.098  1.570   1.107   2.481   4.808  11.90  5 7.30    3293.  4.86   6  6.2221  0.318    9.861    0.281  -0.180   0.086    95.919685   59.539196  215.166504   52.655861   0.6663  -8.0348   0.3360   0.5893   0.074    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0097     0.0245    -0.0472     0.0024    -0.0023
  20.985  1.606   1.168   2.381   4.659  11.68  5 7.30    3413.  5.03   5  4.1447  0.479    9.739    0.293  -0.060   0.009    96.192604   60.186516  214.296173   52.260189   0.7091  -8.0380   0.3505   0.6303   0.075    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0263     0.0252     0.0174     0.0096     0.0281
  20.711  1.546   1.182   2.376   4.621  11.45  5 7.30    3363.  5.02   7  8.5441  0.420    9.619    0.304   0.004   0.021    96.135750   60.032883  214.495941   52.357624   0.6907  -8.0369   0.3430   0.6134   0.071    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0044    -0.0050     0.0118    -0.0204     0.0070
  20.368  1.546   1.186   2.285   4.508  11.19  5 7.25    3496.  4.94   5  3.8746  0.428    9.499    0.316  -0.159   0.035    96.642944   59.999668  214.216339   52.548206   0.6679  -8.0386   0.3317   0.5934   0.074    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0234    -0.0267    -0.0080    -0.0066     0.0080
  20.270  1.482   1.130   2.351   4.453  11.09  5 7.25    3398.  4.92   7  8.5855  0.224    9.500    0.316   0.155  -0.003    96.894966   59.633144  214.449173   52.909481   0.6688  -8.0406   0.3356   0.5920   0.073    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0202     0.0140    -0.0140    -0.0372     0.0337
  20.485  1.521   1.152   2.299   4.545  11.27  5 7.25    3517.  4.71   5  3.9976  0.252    9.441    0.322  -0.158   0.010    96.164505   59.266529  215.313004   52.942268   0.6702  -8.0368   0.3405   0.5911   0.071    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0109     0.0001     0.0047    -0.0194    -0.0221
  20.095  1.571   1.211   2.165   4.308  10.95  5 7.25    3511.  4.95   6  6.0748  0.415    9.267    0.339  -0.304   0.026    96.907486   60.148277  213.892975   52.519760   0.6634  -8.0397   0.3278   0.5904   0.073    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0372    -0.0280     0.0115     0.0056     0.0069
